area_sqft,bedrooms,bathrooms,stories,parking_spaces,house_age,distance_city_km,property_type,location_quality,furnishing_status,mainroad,basement,has_garden,price
989,1,3.0,3,2.0,24,27.6,House,High,Unfurnished,Yes,No,No,10703248
5132,4,4.0,3,1.0,1,8.8,Apartment,Medium,Unfurnished,Yes,No,No,43348706
4410,4,1.0,3,1.0,37,16.0,Apartment,Medium,Semi-Furnished,Yes,Yes,No,37088859
3105,2,4.0,2,0.0,25,6.7,Townhouse,Low,Unfurnished,No,Yes,Yes,29425328
3069,1,5.0,1,0.0,42,22.6,House,Low,Semi-Furnished,No,Yes,No,22336916
5644,1,1.0,2,2.0,33,29.4,House,High,Semi-Furnished,Yes,Yes,No,45114506
969,1,2.0,3,3.0,43,14.8,House,,Unfurnished,Yes,No,Yes,9427496
4669,4,4.0,3,0.0,25,7.4,Apartment,Medium,Unfurnished,Yes,No,No,39518934
1668,1,4.0,2,1.0,0,9.8,Apartment,High,Unfurnished,Yes,No,Yes,20169777
1019,7,4.0,3,,7,32.9,House,Low,Furnished,Yes,No,No,14441769
3635,2,3.0,1,3.0,25,11.4,House,Medium,,Yes,No,Yes,32211669
6352,5,4.0,2,0.0,21,31.2,Villa,High,,No,No,No,56538593
4901,5,4.0,2,2.0,43,13.9,House,High,Unfurnished,No,No,No,42524262
5054,4,1.0,3,0.0,22,8.4,House,Medium,Semi-Furnished,Yes,Yes,No,42192127
4790,7,4.0,1,0.0,47,29.4,Villa,Premium,Unfurnished,No,No,Yes,43379887
5205,1,3.0,1,0.0,10,19.3,Apartment,High,Unfurnished,Yes,No,Yes,44133507
3555,2,1.0,2,2.0,21,2.2,House,High,Semi-Furnished,Yes,Yes,Yes,32853341
1225,2,3.0,1,0.0,41,38.4,House,Medium,Semi-Furnished,Yes,Yes,No,8771236
5530,1,3.0,2,1.0,6,6.8,Apartment,High,Unfurnished,Yes,No,Yes,47294385
3174,3,1.0,2,0.0,17,14.8,Apartment,High,Unfurnished,Yes,No,No,27012488
3477,3,5.0,3,1.0,41,16.0,Apartment,Medium,Furnished,Yes,Yes,No,30299087
2693,6,2.0,3,2.0,32,20.1,Apartment,Premium,Unfurnished,Yes,No,No,24918026
1554,3,2.0,1,1.0,42,31.6,House,High,Unfurnished,Yes,No,No,13690272
6056,7,3.0,1,1.0,28,1.2,Apartment,Medium,Semi-Furnished,Yes,Yes,Yes,51801641
5178,6,5.0,1,2.0,47,37.4,House,High,Unfurnished,Yes,No,No,44173742
4345,7,4.0,1,,48,26.2,Apartment,Medium,Semi-Furnished,Yes,No,No,35200591
2884,1,4.0,3,0.0,53,38.1,Apartment,High,Semi-Furnished,Yes,No,Yes,23763387
5427,7,2.0,1,3.0,6,32.9,Apartment,High,Semi-Furnished,Yes,No,Yes,47135475
3749,5,5.0,1,3.0,32,37.2,Apartment,Low,Semi-Furnished,Yes,No,No,30937951
3132,7,5.0,3,2.0,6,24.4,Townhouse,Low,Semi-Furnished,Yes,No,Yes,31496505
3175,3,3.0,3,2.0,12,14.9,Apartment,Medium,Semi-Furnished,Yes,No,No,28192152
1824,7,3.0,1,2.0,16,18.3,Apartment,Premium,Unfurnished,Yes,No,Yes,22725811
1007,5,1.0,1,1.0,35,26.7,Apartment,Medium,Unfurnished,Yes,Yes,No,10034075
3805,1,4.0,2,1.0,23,17.7,House,High,Semi-Furnished,Yes,Yes,No,33877683
5821,3,5.0,2,1.0,47,29.5,House,Medium,Unfurnished,No,No,Yes,46528534
836,1,3.0,3,0.0,16,4.6,Villa,Medium,Unfurnished,Yes,Yes,No,12819880
5642,7,3.0,2,3.0,33,33.4,House,,Unfurnished,No,No,Yes,47765653
5457,3,3.0,1,1.0,41,9.0,House,Medium,,Yes,No,No,44114143
2124,2,1.0,2,1.0,53,,House,Medium,Unfurnished,Yes,No,No,11663431
4271,4,4.0,2,3.0,13,7.1,Villa,Low,Semi-Furnished,Yes,Yes,Yes,41428932
1449,3,4.0,2,2.0,40,6.0,House,Low,Semi-Furnished,Yes,No,No,15312000
5036,1,5.0,2,2.0,4,32.7,Apartment,Low,Semi-Furnished,Yes,No,Yes,40420414
4688,6,5.0,3,0.0,29,32.9,House,Medium,Unfurnished,Yes,No,Yes,40404152
2594,6,3.0,3,1.0,22,29.8,Villa,Medium,Furnished,Yes,No,No,26104648
860,6,5.0,1,2.0,52,38.5,House,Medium,Unfurnished,Yes,No,No,7452159
6322,5,3.0,2,1.0,42,,Townhouse,Low,Furnished,Yes,No,No,52396434
3146,3,4.0,3,0.0,50,33.2,Townhouse,Medium,Semi-Furnished,No,Yes,No,25698528
5853,4,4.0,2,3.0,46,14.7,Apartment,Medium,Unfurnished,Yes,No,No,46992792
4551,4,5.0,2,1.0,22,22.0,Villa,Premium,Furnished,No,No,No,45597910
5159,2,4.0,1,2.0,40,18.4,House,Medium,Semi-Furnished,Yes,Yes,Yes,43083188
5047,1,1.0,1,1.0,1,1.2,House,Low,Semi-Furnished,No,Yes,No,40361001
1627,2,1.0,3,2.0,30,23.4,House,Medium,Semi-Furnished,Yes,Yes,Yes,14821891
2651,4,3.0,3,3.0,2,30.2,Villa,Premium,Semi-Furnished,No,No,No,28220638
3273,2,3.0,3,3.0,39,7.8,House,High,Semi-Furnished,Yes,No,No,30627428
3461,1,4.0,1,0.0,53,37.3,House,High,Furnished,Yes,Yes,No,28600680
715,6,3.0,1,2.0,37,21.7,Apartment,Premium,Unfurnished,Yes,No,No,11376032
3756,3,,1,3.0,46,8.0,House,Medium,Semi-Furnished,No,No,No,31463785
1383,5,5.0,2,2.0,12,26.2,Townhouse,Premium,Semi-Furnished,Yes,No,No,20378933
4947,4,2.0,2,0.0,54,8.5,House,Low,Semi-Furnished,Yes,No,Yes,37972757
4582,6,3.0,3,0.0,30,3.5,Apartment,High,Semi-Furnished,Yes,No,Yes,41383890
6031,6,3.0,3,0.0,37,27.7,Townhouse,High,Semi-Furnished,Yes,No,No,48886676
4955,3,3.0,1,0.0,42,5.3,Villa,Premium,Semi-Furnished,Yes,No,Yes,46358003
2668,6,5.0,3,3.0,35,5.1,House,Medium,Unfurnished,Yes,No,Yes,28756927
6303,3,5.0,1,,17,29.9,Apartment,High,Unfurnished,Yes,No,No,52752213
2935,6,3.0,1,2.0,33,3.2,House,Medium,Semi-Furnished,No,Yes,Yes,28902057
2421,3,3.0,2,2.0,35,32.6,Apartment,,Unfurnished,Yes,No,No,18159142
5928,1,3.0,1,3.0,47,32.0,Apartment,Medium,Unfurnished,No,No,Yes,42974565
2691,6,1.0,2,1.0,26,6.5,House,Medium,Unfurnished,Yes,No,No,24170425
911,1,3.0,2,1.0,27,21.2,Townhouse,High,Semi-Furnished,Yes,No,Yes,12435208
3290,6,2.0,1,2.0,27,4.8,House,Medium,Furnished,Yes,Yes,Yes,32082884
5263,1,1.0,2,1.0,6,,Villa,Medium,Semi-Furnished,Yes,No,Yes,43138178
1596,2,1.0,2,,4,3.5,Townhouse,Medium,,Yes,No,Yes,16813250
3250,5,3.0,3,2.0,1,37.8,Apartment,High,Furnished,No,No,No,27705005
1236,7,1.0,1,3.0,36,,Apartment,High,Unfurnished,Yes,No,Yes,14780865
4603,3,4.0,1,,23,27.6,House,High,Furnished,Yes,No,No,38701093
3328,1,3.0,2,0.0,47,6.0,Villa,,Semi-Furnished,No,Yes,No,27637991
2447,2,2.0,1,1.0,38,9.2,House,High,Unfurnished,No,No,No,21733338
1822,7,4.0,3,3.0,7,18.6,House,High,Semi-Furnished,Yes,Yes,Yes,24279640
